cod_cidade;cod_estado;cidade
1;9;Abadia de Goiás
2;13;Abadia Dos Dourados
3;9;Abadiânia
4;13;Abaeté
5;14;Abaetetuba
6;6;Abaiara
7;5;Abaíra
8;5;Abaré
9;16;Abatiá
10;24;Abdon Batista
11;14;Abel Figueiredo
12;24;Abelardo Luz
13;13;Abre Campo
14;17;Abreu e Lima
15;27;Abreulândia
16;13;Acaiaca
17;10;Açailândia
18;5;Acajutiba
19;14;Acará
20;6;Acarapé
21;6;Acaraú
22;20;Acari
23;18;Acauã
24;21;Aceguá
25;6;Acopiara
26;11;Acorizal
27;1;Acrelândia
28;9;Acreúna
29;20;Açu
30;13;Açucena
31;25;Adamantina
32;9;Adelândia
33;25;Adolfo
34;16;Adrianópolis
35;5;Adustina
36;17;Afogados da Ingazeira
37;20;Afonso Bezerra
38;8;Afonso Cláudio
39;10;Afonso Cunha
40;17;Afrânio
41;14;Afuá
42;17;Agrestina
43;18;Agricolândia
44;24;Agrolândia
45;24;Agronômica
46;14;Água Azul do Norte
47;13;Água Boa
48;11;Água Boa
49;18;Água Branca
50;15;Água Branca
51;2;Água Branca
52;12;Água Clara
53;13;Água Comprida
54;24;Água Doce
55;10;Água Doce do Maranhão
56;8;Água Doce do Norte
57;5;Água Fria
58;9;Água Fria de Goiás
59;9;Água Limpa
60;20;Água Nova
61;17;Água Preta
62;21;Água Santa
63;25;Aguaí
64;13;Aguanil
65;17;Águas Belas
66;25;Águas da Prata
67;24;Águas de Chapecó
68;25;Águas de Lindóia
69;25;Águas de Santa Bárbara
70;25;Águas de São Pedro
71;13;Águas Formosas
72;24;Águas Frias
73;9;Águas Lindas de Goiás
74;24;Águas Mornas
75;13;Águas Vermelhas
76;21;Agudo
77;25;Agudos
78;16;Agudos do Sul
79;8;Águia Branca
80;15;Aguiar
81;27;Aguiarnópolis
82;13;Aimorés
83;5;Aiquara
84;6;Aiuaba
85;13;Aiuruoca
86;21;Ajuricaba
87;13;Alagoa
88;15;Alagoa Grande
89;15;Alagoa Nova
90;15;Alagoinha
91;17;Alagoinha
92;18;Alagoinha do Piauí
93;5;Alagoinhas
94;25;Alambari
95;13;Albertina
96;10;Alcântara
97;6;Alcântaras
98;15;Alcantil
99;12;Alcinópolis
100;5;Alcobaça
101;10;Aldeias Altas
102;21;Alecrim
103;8;Alegre
104;21;Alegrete
105;18;Alegrete do Piauí
106;21;Alegria
107;13;Além Paraíba
108;14;Alenquer
109;20;Alexandria
110;9;Alexânia
111;13;Alfenas
112;8;Alfredo Chaves
113;25;Alfredo Marcondes
114;13;Alfredo Vasconcelos
115;24;Alfredo Wagner
116;15;Algodão de Jandaíra
117;15;Alhandra
118;17;Aliança
119;27;Aliança do Tocantins
120;5;Almadina
121;27;Almas
122;14;Almeirim
123;13;Almenara
124;20;Almino Afonso
125;16;Almirante Tamandaré
126;21;Almirante Tamandaré do Sul
127;9;Aloândia
128;13;Alpercata
129;21;Alpestre
130;13;Alpinópolis
131;11;Alta Floresta
132;22;Alta Floresta D´oeste
133;25;Altair
134;14;Altamira
135;10;Altamira do Maranhão
136;16;Altamira do Paraná
137;6;Altaneira
138;13;Alterosa
139;17;Altinho
140;25;Altinópolis
141;23;Alto Alegre
142;25;Alto Alegre
143;21;Alto Alegre
144;10;Alto Alegre do Maranhão
145;10;Alto Alegre do Pindaré
146;22;Alto Alegre Dos Parecis
147;11;Alto Araguaia
148;24;Alto Bela Vista
149;11;Alto Boa Vista
150;13;Alto Caparaó
151;20;Alto do Rodrigues
152;21;Alto Feliz
153;11;Alto Garças
154;9;Alto Horizonte
155;13;Alto Jequitibá
156;18;Alto Longá
157;11;Alto Paraguai
158;22;Alto Paraíso
159;9;Alto Paraíso de Goiás
160;16;Alto Paraná
161;10;Alto Parnaíba
162;16;Alto Piquiri
163;13;Alto Rio Doce
164;8;Alto Rio Novo
165;6;Alto Santo
166;11;Alto Taquari
167;16;Altônia
168;18;Altos
169;25;Alumínio
170;4;Alvarães
171;13;Alvarenga
172;25;Álvares Florence
173;25;Álvares Machado
174;25;Álvaro de Carvalho
175;25;Alvinlândia
176;13;Alvinópolis
177;27;Alvorada
178;21;Alvorada
179;22;Alvorada D´oeste
180;13;Alvorada de Minas
181;18;Alvorada do Gurguéia
182;9;Alvorada do Norte
183;16;Alvorada do Sul
184;23;Amajari
185;12;Amambaí
186;3;Amapá
187;10;Amapá do Maranhão
188;16;Amaporã
189;17;Amaraji
190;21;Amaral Ferrador
191;9;Amaralina
192;18;Amarante
193;10;Amarante do Maranhão
194;5;Amargosa
195;4;Amaturá
196;5;Amélia Rodrigues
197;5;América Dourada
198;25;Americana
199;9;Americano do Brasil
200;25;Américo Brasiliense
201;25;Américo de Campos
202;21;Ametista do Sul
203;6;Amontada
204;9;Amorinópolis
205;15;Amparo
206;25;Amparo
207;26;Amparo de São Francisco
208;13;Amparo do Serra
209;16;Ampére
210;2;Anadia
211;5;Anagé
212;16;Anahy
213;14;Anajás
214;10;Anajatuba
215;25;Analândia
216;4;Anamã
217;27;Ananás
218;14;Ananindeua
219;9;Anápolis
220;14;Anapu
221;10;Anapurus
222;12;Anastácio
223;12;Anaurilândia
224;8;Anchieta
225;24;Anchieta
226;5;Andaraí
227;16;Andirá
228;5;Andorinha
229;13;Andradas
230;25;Andradina
231;21;André da Rocha
232;13;Andrelândia
233;25;Angatuba
234;13;Angelândia
235;12;Angélica
236;17;Angelim
237;24;Angelina
238;5;Angical
239;18;Angical do Piauí
240;27;Angico
241;20;Angicos
242;19;Angra Dos Reis
243;5;Anguera
244;16;Ângulo
245;9;Anhanguera
246;25;Anhembi
247;25;Anhumas
248;9;Anicuns
249;18;Anísio de Abreu
250;24;Anita Garibaldi
251;24;Anitápolis
252;4;Anori
253;21;Anta Gorda
254;5;Antas
255;16;Antonina
256;6;Antonina do Norte
257;18;Antônio Almeida
258;5;Antônio Cardoso
259;13;Antônio Carlos
260;24;Antônio Carlos
261;13;Antônio Dias
262;5;Antônio Gonçalves
263;12;Antônio João
264;20;Antônio Martins
265;16;Antônio Olinto
266;21;Antônio Prado
267;13;Antônio Prado de Minas
268;15;Aparecida
269;25;Aparecida
270;25;Aparecida D´oeste
271;9;Aparecida de Goiânia
272;9;Aparecida do Rio Doce
273;27;Aparecida do Rio Negro
274;12;Aparecida do Taboado
275;19;Aperibé
276;8;Apiacá
277;11;Apiacás
278;25;Apiaí
279;10;Apicum-açu
280;24;Apiúna
281;20;Apodi
282;5;Aporá
283;9;Aporé
284;5;Apuarema
285;16;Apucarana
286;4;Apuí
287;6;Apuiarés
288;26;Aquidabã
289;12;Aquidauana
290;6;Aquiraz
291;24;Arabutã
292;15;Araçagi
293;13;Araçaí
294;26;Aracaju
295;25;Araçariguama
296;5;Araças
297;6;Aracati
298;5;Aracatu
299;25;Araçatuba
300;5;Araci
301;13;Aracitaba
302;6;Aracoiaba
303;17;Araçoiaba
304;25;Araçoiaba da Serra
305;8;Aracruz
306;9;Araçu
